"Name","Category","Status","Version","Path","Website"
"Node.js","Runtime","CERTIFIED","v24.15.0","C:\Program Files\nodejs\node.exe","https://nodejs.org"
"npm","PackageManager","CERTIFIED","11.12.1","C:\Program Files\nodejs\npm.ps1","https://npmjs.com"
"pnpm","PackageManager","CERTIFIED","11.11.0","C:\Users\EPower\AppData\Roaming\npm\pnpm.ps1","https://pnpm.io"
"Yarn","PackageManager","CERTIFIED","1.22.22","C:\Users\EPower\AppData\Roaming\npm\yarn.ps1","https://yarnpkg.com"
"Bun","PackageManager","CERTIFIED","1.3.14","C:\Users\EPower\AppData\Roaming\npm\bun.ps1","https://bun.sh"
"Python 3","Runtime","CERTIFIED","Python 3.11.9","C:\Program Files\Python311\python.exe","https://python.org"
"Go","Runtime","CERTIFIED","go version go1.26.5 windows/amd64","C:\Program Files\Go\bin\go.exe","https://go.dev"
"Java 21","Runtime","CERTIFIED","","C:\Program Files\Eclipse Adoptium\jdk-21.0.11.10-hotspot\bin\java.exe","https://adoptium.net"
"Rust","Runtime","CERTIFIED","rustc 1.97.0 (2d8144b78 2026-07-07)","C:\Users\EPower\.cargo\bin\rustc.exe","https://rust-lang.org"
"Cargo","PackageManager","CERTIFIED","cargo 1.97.0 (c980f4866 2026-06-30)","C:\Users\EPower\.cargo\bin\cargo.exe","https://doc.rust-lang.org/cargo/"
"Git","VersionControl","CERTIFIED","git version 2.54.0.windows.1","C:\Program Files\Git\cmd\git.exe","https://git-scm.com"
"GitHub CLI","VersionControl","CERTIFIED","gh version 2.92.0 (2026-04-28)","C:\Program Files\GitHub CLI\gh.exe","https://cli.github.com"
"Docker","Container","CERTIFIED","Docker version 29.5.2, build 79eb04c","C:\Program Files\Docker\Docker\resources\bin\docker.exe","https://docker.com"
"Docker Compose","Container","CERTIFIED","Docker Compose version v5.1.3","C:\Program Files\Docker\Docker\resources\bin\docker.exe","https://docs.docker.com/compose/"
"TypeScript","Language","CERTIFIED","Version 7.0.2","C:\Users\EPower\AppData\Roaming\npm\tsc.ps1","https://typescriptlang.org"
"ESLint","Linter","CERTIFIED","v10.7.0","C:\Users\EPower\AppData\Roaming\npm\eslint.ps1","https://eslint.org"
"Prettier","Formatter","CERTIFIED","3.9.5","C:\Users\EPower\AppData\Roaming\npm\prettier.ps1","https://prettier.io"
"Stylelint","Linter","CERTIFIED","17.14.0","C:\Users\EPower\AppData\Roaming\npm\stylelint.ps1","https://stylelint.io"
"Snyk","Security","CERTIFIED","1.1305.0","C:\Users\EPower\AppData\Roaming\npm\snyk.ps1","https://snyk.io"
"Checkov","Security","CERTIFIED","3.3.8","C:\Users\EPower\AppData\Roaming\Python\Python311\Scripts\checkov.cmd","https://checkov.io"
"Trivy","Security","CERTIFIED","Version: 0.70.0","C:\Users\EPower\AppData\Local\Microsoft\WinGet\Packages\AquaSecurity.Trivy_Microsoft.Winget.Source_8wekyb3d8bbwe\trivy.exe","https://trivy.dev"
"DepCruiser","Architecture","CERTIFIED","18.0.0","C:\Users\EPower\AppData\Roaming\npm\depcruise.ps1","https://github.com/sverweij/dependency-cruiser"
"Madge","Architecture","CERTIFIED","8.0.0","C:\Users\EPower\AppData\Roaming\npm\madge.ps1","https://github.com/pahen/madge"
"Knip","CodeQuality","CERTIFIED","6.26.0","C:\Users\EPower\AppData\Roaming\npm\knip.ps1","https://github.com/webpro/knip"
